id,Line,Rating,Sail_month,Sail_year,Best_rating,Worse_rating,Ship,Count
26,Costa,3,6-Dec,2012, Cabin, Rates,Costa Mediterranea,1
28,Costa,5,6-Dec,2012, Dining,Shore Excursions,Costa Mediterranea,1
29,Costa,5,7-Dec,2012, Shore Excursions,Family & Children,Costa Favolosa,1
30,Costa,5,9-Dec,2012, Public Rooms,Shore Excursions,Costa Magica,1
32,Costa,4,6-Dec,2012, Service, Cabin,Costa Classica,1
33,Costa,5,9-Dec,2012, Service,Shore Excursions,Costa Mediterranea,1
34,Costa,4,6-Dec,2012,Service,Entertainment,Costa Classica,1
35,Costa,4,8-Dec,2012, Embarkation,Service,Costa Classica,1
36,Costa,5,7-Dec,2012, Fitness & Recreation, Public Rooms,Costa Favolosa,1
37,Costa,4,7-Dec,2012, Service, Fitness & Recreation,neoRomantica,1
38,Costa,2,12-Dec,2012,Fitness & Recreation,Entertainment,neoRomantica,1
39,Costa,4,10-Dec,2012,Value for Money, Service,Costa Favolosa,1
40,Costa,3,8-Dec,2012,Entertainment,Embarkation,Costa Serena,1
41,Costa,3,10-Dec,2012, Shore Excursions,Entertainment,Costa Pacifica,1
42,Costa,3,9-Dec,2012,Embarkation,Entertainment,Costa Classica,1
43,Costa,1,10-Dec,2012, Entertainment, Service,Costa Deliziosa,1
44,Costa,5,9-Dec,2012, Embarkation,Shore Excursions,Costa Serena,1
45,Costa,3,9-Dec,2012,Service,Shore Excursions,not specified,1
46,Costa,4,10-Dec,2012, Dining, Fitness & Recreation,Costa Fascinosa,1
48,Costa,1,10-Dec,2012, Public Rooms, Dining,Costa Magica,1
49,Costa,2,13-06,2013,Service, Shore Excursions,Costa Luminosa,1
50,Costa,1,11-Dec,2012,Entertainment,Value for Money,Costa Mediterranea,1
51,Costa,5,10-Dec,2012, Rates,Entertainment,not specified,1
52,Costa,5,10-Dec,2012, Public Rooms,Shore Excursions,not specified,1
54,Costa,4,7-Dec,2012, Entertainment,Embarkation,Costa Pacifica,1
55,Costa,3,9-Dec,2012,Entertainment,Enrichment Activities,Costa Classica,1
56,Costa,5,13-03,2013,Value for Money,Dining,Costa Classica,1
57,Costa,5,9-Dec,2012, Service,Embarkation,Costa Favolosa,1
58,Costa,4,11-Dec,2012, Service,Embarkation,Costa Favolosa,1
59,Costa,5,10-Dec,2012, Entertainment,Dining,Costa Fascinosa,1
60,Costa,5,10-Dec,2012, Dining,Embarkation,Costa Fascinosa,1
61,Costa,5,12-Sep,2009, Public Rooms, Enrichment Activities,not specified,1
62,Costa,3,10-Dec,2012, Cabin,Service,Costa Serena,1
63,Costa,4,13-04,2013,Value for Money, Embarkation,Costa Deliziosa,1
64,Costa,4,11-Dec,2012,Dining,Shore Excursions,Costa Magica,1
65,Costa,3,11-Dec,2012,Cabin, Dining,Costa Fascinosa,1
66,Costa,3,13-03,2013,Cabin, Embarkation,Costa Serena,1
67,Costa,4,11-Dec,2012, Public Rooms,Enrichment Activities,Costa Pacifica,1
68,Costa,2,11-Dec,2012, Cabin, Embarkation,Costa Fascinosa,1
69,Costa,3,10-Dec,2012, Cabin, Shore Excursions,Costa Favolosa,1
70,Costa,3,11-Dec,2012, Public Rooms,Value for Money,Costa Mediterranea,1
71,Costa,5,11-Dec,2012, Service, Cabin,Costa Fascinosa,1
72,Costa,3,13-02,2013,Cabin,Entertainment,Costa Fascinosa,1
73,Costa,3,11-Dec,2012,Shore Excursions, Fitness & Recreation,Costa Mediterranea,1
74,Costa,1,12-Dec,2012, Embarkation, Family & Children,not specified,1
75,Costa,4,12-Dec,2012, Rates,Dining,Costa Pacifica,1
76,Costa,1,12-Dec,2012,Rates, Shore Excursions,Costa Mediterranea,1
77,Costa,4,12-Dec,2012,Value for Money,Service,Costa Mediterranea,1
78,Costa,4,13-03,2013, Entertainment,Shore Excursions,Costa Magica,1
79,Costa,1,12-Dec,2012,Cabin, Entertainment,Costa Mediterranea,1
80,Costa,2,12-Dec,2012, Cabin, Enrichment Activities,Costa Mediterranea,1
81,Costa,5,11-Dec,2012,Value for Money,Entertainment,Costa Mediterranea,1
82,Costa,5,12-Dec,2012, Enrichment Activities, Fitness & Recreation,Costa Mediterranea,1
83,Costa,1,12-Dec,2012, Rates, Dining,Costa Mediterranea,1
84,Costa,1,12-Dec,2012, Shore Excursions,Dining,Costa Mediterranea,1
86,Costa,5,12-Dec,2012, Service,Shore Excursions,Costa Mediterranea,1
87,Costa,5,13-04,2013, Enrichment Activities,Entertainment,neoRomantica,1
89,Costa,5,13-02,2013, Embarkation,Enrichment Activities,Costa Mediterranea,1
90,Costa,5,10-Dec,2012, Entertainment,Embarkation,Costa Favolosa,1
91,Costa,1,13-01,2013,Entertainment,Value for Money,Costa Pacifica,1
92,Costa,5,13-04,2013, Cabin, Embarkation,Costa Favolosa,1
93,Costa,4,13-03,2013,Cabin,Family & Children,not specified,1
94,Costa,5,13-02,2013,Value for Money,Embarkation,Costa Pacifica,1
95,Costa,5,13-05,2013, Embarkation, Shore Excursions,not specified,1
96,Costa,1,13-02,2013,Dining,Value for Money,Costa Fortuna,1
97,Costa,3,13-02,2013, Cabin, Public Rooms,Costa Pacifica,1
98,Costa,5,13-02,2013, Embarkation, Entertainment,Costa Pacifica,1
99,Costa,2,13-06,2013, Shore Excursions, Entertainment,Costa Fascinosa,1
100,Costa,4,13-03,2013, Cabin,Dining,Costa Pacifica,1
101,Costa,3,13-06,2013,Service,Enrichment Activities,Costa Fortuna,1
102,Costa,3,13-03,2013,Service,Value for Money,Costa Mediterranea,1
103,Costa,2,13-07,2013,Value for Money, Shore Excursions,Costa Classica,1
104,Costa,4,13-04,2013, Public Rooms,Entertainment,Costa Serena,1
105,Costa,5,13-04,2013, Fitness & Recreation, Public Rooms,Costa Pacifica,1
106,Costa,2,13-11,2013,Service,Dining,not specified,1
107,Costa,5,13-04,2013, Cabin,Embarkation,Costa Magica,1
109,Costa,2,13-05,2013,Service,Embarkation,Costa Favolosa,1
110,Costa,1,13-05,2013,Service,Value for Money,Costa Magica,1
112,Costa,1,13-03,2013,Service, Entertainment,Costa Mediterranea,1
113,Costa,4,13-05,2013,Embarkation, Rates,Costa Mediterranea,1
114,Costa,5,13-05,2013,Service, Entertainment,Costa Mediterranea,1
115,Costa,3,13-08,2013, Cabin,Entertainment,Costa Deliziosa,1
116,Costa,5,13-05,2013, Family & Children, Public Rooms,Costa Favolosa,1
117,Costa,5,13-05,2013, Rates, Cabin,Costa Magica,1
118,Costa,5,13-05,2013, Cabin,Value for Money,Costa Fascinosa,1
119,Costa,1,13-09,2013,Shore Excursions, Enrichment Activities,Costa Fascinosa,1
120,Costa,3,13-04,2013,Dining,Shore Excursions,Costa Fortuna,1
121,Costa,2,13-07,2013,Service, Rates,Costa Fortuna,1
122,Costa,5,13-07,2013,Value for Money,Embarkation,Costa Magica,1
123,Costa,5,13-09,2013, Embarkation,Shore Excursions,Costa Mediterranea,1
124,Costa,2,13-06,2013, Cabin,Enrichment Activities,not specified,1
125,Costa,4,14-02,2014, Fitness & Recreation,Shore Excursions,not specified,1
126,Costa,3,13-08,2013,Dining,Entertainment,Costa Luminosa,1
127,Costa,5,13-10,2013, Embarkation,Shore Excursions,Costa Favolosa,1
128,Costa,3,13-06,2013,Value for Money, Embarkation,Costa Magica,1
129,Costa,3,13-07,2013,Cabin,Dining,Costa Magica,1
130,Costa,4,13-07,2013, Dining, Rates,neoRomantica,1
131,Costa,5,13-08,2013, Cabin,Dining,Costa Serena,1
132,Costa,5,13-08,2013, Cabin,Entertainment,Costa Magica,1
133,Costa,2,13-11,2013, Cabin, Public Rooms,Costa Serena,1
134,Costa,5,13-10,2013, Cabin,Entertainment,Costa Classica,1
135,Costa,4,13-10,2013, Public Rooms,Shore Excursions,Costa Luminosa,1
136,Costa,4,13-07,2013,Service, Dining,neoRomantica,1
137,Costa,5,14-01,2014, Cabin,Entertainment,neoRomantica,1
139,Costa,3,13-10,2013,Service, Shore Excursions,Costa Deliziosa,1
140,Costa,5,13-10,2013, Cabin,Shore Excursions,Costa Magica,1
141,Costa,2,13-09,2013,Cabin,Service,Costa Fascinosa,1
142,Costa,3,13-09,2013,Cabin,Embarkation,Costa Mediterranea,1
143,Costa,3,13-09,2013, Shore Excursions,Entertainment,Costa Mediterranea,1
144,Costa,1,13-10,2013,Fitness & Recreation, Embarkation,Costa Fascinosa,1
145,Costa,2,14-01,2014, Shore Excursions, Enrichment Activities,Costa Classica,1
146,Costa,4,9-Nov,2011,Entertainment,Dining,Costa Mediterranea,1
147,Costa,4,13-10,2013,Embarkation, Shore Excursions,Costa Mediterranea,1
148,Costa,2,13-11,2013,Cabin,Shore Excursions,Costa Fascinosa,1
149,Costa,5,13-10,2013, Dining, Embarkation,Costa Mediterranea,1
150,Costa,1,13-10,2013,Service, Shore Excursions,Costa Favolosa,1
151,Costa,3,13-10,2013, Shore Excursions, Entertainment,Costa Luminosa,1
152,Costa,3,13-11,2013, Cabin,Public Rooms,Costa Luminosa,1
153,Costa,1,13-12,2013, Cabin,Enrichment Activities,Costa Pacifica,1
154,Costa,5,13-10,2013,Value for Money,Embarkation,Costa Mediterranea,1
155,Costa,1,14-04,2014,Service, Dining,Costa Favolosa,1
156,Costa,4,13-10,2013, Public Rooms,Shore Excursions,Costa Deliziosa,1
157,Costa,1,13-11,2013,Fitness & Recreation, Enrichment Activities,Costa Magica,1
158,Costa,5,13-10,2013, Public Rooms,Embarkation,Costa Mediterranea,1
159,Costa,2,13-08,2013,Shore Excursions,Public Rooms,Costa Fortuna,1
160,Costa,5,13-10,2013, Entertainment,Enrichment Activities,Costa Mediterranea,1
161,Costa,3,13-11,2013,Service, Enrichment Activities,Costa Deliziosa,1
162,Costa,1,13-10,2013,Public Rooms, Dining,Costa Mediterranea,1
163,Costa,1,14-01,2014, Shore Excursions, Dining,Costa Magica,1
164,Costa,5,13-11,2013,Value for Money, Service,Costa Mediterranea,1
165,Costa,3,3-Dec,2012, Fitness & Recreation,Service,Costa Serena,1
166,Costa,4,14-06,2014,Value for Money,Shore Excursions,Costa Mediterranea,1
168,Costa,4,13-12,2013, Entertainment,Embarkation,Costa Deliziosa,1
169,Costa,3,13-12,2013, Public Rooms,Dining,Costa Luminosa,1
170,Costa,5,13-11,2013, Public Rooms,Value for Money,Costa Fascinosa,1
171,Costa,2,14-01,2014,Entertainment,Service,Costa Fortuna,1
172,Costa,3,13-11,2013,Embarkation,Shore Excursions,not specified,1
173,Costa,1,13-12,2013,Fitness & Recreation, Embarkation,Costa Fascinosa,1
174,Costa,5,13-12,2013, Enrichment Activities, Cabin,not specified,1
175,Costa,5,13-12,2013, Embarkation, Shore Excursions,not specified,1
176,Costa,1,13-12,2013,Cabin, Dining,Costa Luminosa,1
177,Costa,1,14-01,2014, Cabin, Service,Costa Serena,1
178,Costa,1,13-12,2013,Fitness & Recreation, Dining,Costa Luminosa,1
179,Costa,1,13-12,2013,Embarkation,Value for Money,not specified,1
180,Costa,3,13-11,2013, Cabin, Shore Excursions,Costa Fascinosa,1
181,Costa,4,14-02,2014, Dining,Enrichment Activities,Costa neoRiviera,1
182,Costa,2,13-12,2013,Public Rooms,Value for Money,Costa Luminosa,1
183,Costa,2,13-12,2013,Entertainment, Cabin,not specified,1
184,Costa,5,14-08,2014, Cabin, Fitness & Recreation,Costa Deliziosa,1
185,Costa,5,13-12,2013, Public Rooms, Cabin,not specified,1
186,Costa,2,13-12,2013,Embarkation,Service,Costa Luminosa,1
187,Costa,5,13-12,2013, Dining,Entertainment,Costa Luminosa,1
188,Costa,5,14-01,2014,Value for Money,Entertainment,Costa Pacifica,1
189,Costa,4,13-12,2013, Service,Entertainment,Costa Luminosa,1
190,Costa,2,13-12,2013,Cabin,Embarkation,not specified,1
191,Costa,2,13-12,2013, Embarkation,Service,Costa Luminosa,1
192,Costa,1,13-12,2013,Embarkation, Shore Excursions,not specified,1
193,Costa,2,13-12,2013, Service, Shore Excursions,not specified,1
194,Costa,1,13-12,2013,Service, Entertainment,not specified,1
195,Costa,1,13-12,2013,Embarkation, Dining,Costa Luminosa,1
197,Costa,5,13-10,2013, Fitness & Recreation, Embarkation,Costa Luminosa,1
198,Costa,1,14-03,2014,Cabin, Shore Excursions,Costa Fascinosa,1
199,Costa,3,13-12,2013,Public Rooms, Enrichment Activities,not specified,1
200,Costa,1,14-01,2014, Embarkation,Value for Money,Costa Luminosa,1
201,Costa,2,13-12,2013,Embarkation, Public Rooms,not specified,1
202,Costa,1,13-12,2013, Public Rooms,Value for Money,not specified,1
203,Costa,2,13-12,2013,Entertainment,Value for Money,Costa Luminosa,1
204,Costa,5,13-05,2013, Embarkation, Enrichment Activities,Costa Pacifica,1
205,Costa,4,13-12,2013,Cabin, Enrichment Activities,Costa Luminosa,1
206,Costa,5,14-01,2014, Public Rooms,Entertainment,Costa Pacifica,1
207,Costa,1,13-12,2013,Embarkation, Dining,Costa Luminosa,1
208,Costa,4,14-05,2014, Dining,Enrichment Activities,Costa Magica,1
209,Costa,5,14-01,2014, Cabin,Service,Costa Pacifica,1
210,Costa,1,14-02,2014,Embarkation, Dining,Costa Pacifica,1
211,Costa,5,13-12,2013, Cabin,Embarkation,neoRomantica,1
212,Costa,5,14-01,2014,Value for Money, Shore Excursions,Costa Fortuna,1
213,Costa,5,14-02,2014, Public Rooms,Value for Money,Costa Luminosa,1
214,Costa,1,14-02,2014,Embarkation, Cabin,Costa Fortuna,1
215,Costa,3,14-02,2014,Cabin, Entertainment,Costa Fortuna,1
216,Costa,5,14-02,2014, Fitness & Recreation,Enrichment Activities,Costa Luminosa,1
217,Costa,3,14-02,2014,Cabin,Embarkation,Costa neoRiviera,1
218,Costa,3,14-02,2014,Embarkation,Entertainment,Costa Pacifica,1
219,Costa,4,14-02,2014, Entertainment,Dining,Costa Luminosa,1
220,Costa,5,14-02,2014,Entertainment, Enrichment Activities,Costa Fortuna,1
221,Costa,2,14-02,2014,Embarkation, Fitness & Recreation,Costa Serena,1
222,Costa,5,14-07,2014, Cabin,Embarkation,Costa Classica,1
223,Costa,1,14-02,2014,Cabin, Dining,Costa Luminosa,1
224,Costa,5,14-02,2014, Cabin,Embarkation,Costa Luminosa,1
225,Costa,3,14-04,2014,Entertainment, Cabin,neoRomantica,1
226,Costa,1,14-02,2014,Cabin, Service,Costa Luminosa,1
227,Costa,5,14-02,2014,Dining,Shore Excursions,Costa Luminosa,1
228,Costa,1,14-02,2014,Embarkation,Value for Money,Costa Luminosa,1
229,Costa,5,14-02,2014, Dining,Entertainment,Costa Pacifica,1
230,Costa,4,14-02,2014, Shore Excursions,Embarkation,Costa Fortuna,1
232,Costa,2,14-03,2014, Cabin,Enrichment Activities,Costa Fortuna,1
233,Costa,1,14-02,2014, Public Rooms,Value for Money,Costa Serena,1
234,Costa,2,14-02,2014, Public Rooms,Service,Costa Luminosa,1
235,Costa,1,14-03,2014,Cabin, Dining,Costa Luminosa,1
236,Costa,1,14-01,2014,Shore Excursions, Enrichment Activities,Costa Serena,1
237,Costa,5,14-03,2014, Entertainment, Service,Costa Serena,1
238,Costa,5,14-02,2014, Dining, Cabin,Costa Serena,1
239,Costa,5,14-03,2014, Dining,Embarkation,Costa Fortuna,1
240,Costa,4,14-02,2014,Cabin,Service,Costa neoRiviera,1
241,Costa,1,14-03,2014,Cabin,Value for Money,Costa Luminosa,1
242,Costa,5,14-03,2014, Service,Embarkation,Costa Luminosa,1
243,Costa,5,14-03,2014, Fitness & Recreation, Enrichment Activities,Costa Luminosa,1
244,Costa,4,14-03,2014,Service,Public Rooms,Costa Serena,1
245,Costa,5,14-03,2014, Embarkation,Service,Costa Luminosa,1
246,Costa,2,14-04,2014, Embarkation,Dining,Costa neoRiviera,1
247,Costa,1,14-06,2014, Cabin,Value for Money,not specified,1
248,Costa,5,14-02,2014, Enrichment Activities, Shore Excursions,Costa Serena,1
249,Costa,3,14-03,2014,Embarkation,Service,Costa Luminosa,1
250,Costa,5,14-03,2014, Public Rooms,Fitness & Recreation,Costa Luminosa,1
251,Costa,5,14-03,2014, Service,Entertainment,Costa Serena,1
252,Costa,1,14-08,2014,Shore Excursions, Family & Children,Costa Fortuna,1
253,Costa,1,14-03,2014,Cabin,Value for Money,Costa Fascinosa,1
254,Costa,5,14-03,2014,Value for Money,Dining,Costa Pacifica,1
255,Costa,2,14-03,2014,Cabin,Dining,Costa Fascinosa,1
256,Costa,2,14-03,2014,Embarkation,Dining,Costa Fascinosa,1
258,Costa,3,14-04,2014,Value for Money,Enrichment Activities,Costa Pacifica,1
259,Costa,5,14-03,2014,Value for Money,Embarkation,Costa Fascinosa,1
261,Costa,5,14-03,2014, Service,Embarkation,Costa Fascinosa,1
262,Costa,2,14-02,2014,Dining, Embarkation,Costa Luminosa,1
263,Costa,5,14-04,2014, Shore Excursions,Entertainment,Costa Serena,1
265,Costa,5,14-04,2014, Service,Shore Excursions,Costa Pacifica,1
266,Costa,4,14-03,2014, Public Rooms, Enrichment Activities,Costa Luminosa,1
269,Costa,3,14-03,2014, Public Rooms,Dining,Costa Fascinosa,1
270,Costa,3,14-05,2014,Service, Dining,Costa Favolosa,1
271,Costa,4,14-04,2014, Public Rooms,Dining,Costa Luminosa,1
272,Costa,3,14-07,2014, Cabin,Enrichment Activities,Costa Luminosa,1
273,Costa,5,14-04,2014, Fitness & Recreation,Entertainment,neoRomantica,1
274,Costa,4,14-09,2014,Embarkation,Shore Excursions,Costa neoRiviera,1
275,Costa,1,14-04,2014,Cabin,Value for Money,Costa Favolosa,1
276,Costa,5,14-05,2014, Entertainment,Embarkation,Costa Favolosa,1
277,Costa,2,14-07,2014, Cabin, Embarkation,neoRomantica,1
278,Costa,1,14-05,2014,Shore Excursions, Public Rooms,Costa Magica,1
279,Costa,4,14-05,2014, Entertainment, Cabin,Costa Serena,1
280,Costa,1,14-06,2014,Embarkation, Service,Costa Fascinosa,1
281,Costa,5,14-05,2014,Value for Money,Shore Excursions,Costa Serena,1
282,Costa,2,14-05,2014,Cabin,Service,Costa Favolosa,1
283,Costa,4,14-05,2014, Cabin,Enrichment Activities,Costa Favolosa,1
284,Costa,4,14-05,2014,Service,Enrichment Activities,Costa Magica,1
285,Costa,1,14-07,2014,Cabin, Embarkation,Costa Magica,1
286,Costa,2,14-06,2014,Enrichment Activities,Value for Money,Costa Pacifica,1
287,Costa,3,14-06,2014,Service,Dining,Costa Serena,1
288,Costa,3,14-06,2014, Embarkation,Service,Costa Pacifica,1
289,Costa,2,14-11,2014,Service, Dining,Costa Mediterranea,1
290,Costa,3,14-05,2014,Cabin,Service,Costa Pacifica,1
291,Costa,5,14-07,2014, Public Rooms, Enrichment Activities,Costa Pacifica,1
292,Costa,5,14-06,2014, Dining,Cabin,Costa Serena,1
293,Costa,4,14-07,2014, Cabin, Fitness & Recreation,not specified,1
294,Costa,5,14-07,2014,Value for Money,Cabin,Costa Serena,1
295,Costa,2,14-06,2014,Public Rooms,Entertainment,Costa Fascinosa,1
296,Costa,4,14-07,2014,Value for Money, Dining,Costa Favolosa,1
297,Costa,2,14-07,2014,Embarkation, Service,Costa Fascinosa,1
298,Costa,3,14-07,2014,Service,Fitness & Recreation,Costa Favolosa,1
299,Costa,5,14-07,2014, Embarkation,Cabin,Costa Magica,1
300,Costa,4,14-07,2014,Value for Money,Entertainment,Costa Fascinosa,1
301,Costa,3,14-06,2014,Entertainment,Enrichment Activities,Costa Fascinosa,1
302,Costa,1,14-07,2014, Public Rooms, Entertainment,Costa Classica,1
303,Costa,2,14-07,2014,Entertainment,Service,Costa Luminosa,1
304,Costa,2,14-07,2014,Embarkation, Enrichment Activities,Costa Serena,1
305,Costa,1,14-08,2014,Embarkation, Dining,Costa Pacifica,1
306,Costa,2,14-09,2014,Embarkation, Enrichment Activities,neoRomantica,1
307,Costa,5,14-07,2014, Service,Entertainment,Costa Luminosa,1
308,Costa,2,14-07,2014,Cabin,Value for Money,Costa Luminosa,1
309,Costa,1,14-08,2014,Public Rooms, Shore Excursions,Costa Magica,1
310,Costa,1,14-09,2014, Embarkation, Shore Excursions,Costa Favolosa,1
311,Costa,4,14-08,2014,Service, Embarkation,Costa Fascinosa,1
312,Costa,4,14-07,2014, Cabin,Enrichment Activities,Costa Luminosa,1
313,Costa,3,14-09,2014,Value for Money,Entertainment,Costa Magica,1
314,Costa,3,14-07,2014,Fitness & Recreation, Service,Costa Serena,1
315,Costa,5,14-08,2014, Public Rooms,Entertainment,Costa Fortuna,1
316,Costa,5,14-09,2014, Public Rooms,Embarkation,Costa Serena,1
317,Costa,3,14-08,2014, Cabin, Enrichment Activities,Costa Luminosa,1
318,Costa,5,14-08,2014, Cabin,Value for Money,Costa Classica,1
319,Costa,4,14-08,2014, Cabin, Entertainment,Costa Fortuna,1
320,Costa,5,14-07,2014, Service, Shore Excursions,Costa Classica,1
321,Costa,4,14-08,2014, Shore Excursions,Enrichment Activities,not specified,1
322,Costa,5,14-08,2014, Cabin, Shore Excursions,Costa Fascinosa,1
323,Costa,3,14-09,2014,Cabin, Enrichment Activities,Costa Classica,1
324,Costa,3,14-09,2014,Cabin,Dining,Costa Pacifica,1
325,Costa,2,13-09,2013,Dining, Enrichment Activities,Costa Classica,1
326,Costa,5,14-09,2014, Cabin, Public Rooms,Costa Fortuna,1
327,Costa,5,14-10,2014, Entertainment, Dining,Costa Luminosa,1
330,Costa,1,14-09,2014, Enrichment Activities, Fitness & Recreation,Costa Pacifica,1
331,Costa,5,14-09,2014, Entertainment,Shore Excursions,Costa Pacifica,1
332,Costa,4,14-09,2014,Value for Money, Dining,Costa Magica,1
333,Costa,5,14-09,2014,Value for Money, Embarkation,Costa Fascinosa,1
334,Costa,5,14-09,2014,Value for Money,Enrichment Activities,Costa Pacifica,1
335,Costa,1,14-09,2014, Public Rooms,Entertainment,Costa Fascinosa,1
336,Costa,3,14-11,2014, Public Rooms,Embarkation,Costa Fascinosa,1
337,Costa,5,14-09,2014, Service,Fitness & Recreation,Costa Serena,1
338,Costa,1,14-12,2014,Fitness & Recreation,Value for Money,Costa Pacifica,1
339,Costa,5,14-10,2014, Dining,Enrichment Activities,Costa Magica,1
340,Costa,5,14-11,2014, Enrichment Activities,Shore Excursions,Costa Favolosa,1
341,Costa,5,14-10,2014, Public Rooms,Shore Excursions,Costa Serena,1
342,Costa,5,14-11,2014, Fitness & Recreation,Dining,Costa Magica,1
343,Costa,3,14-10,2014, Cabin, Dining,Costa Serena,1
344,Costa,5,14-10,2014,Cabin, Fitness & Recreation,Costa Serena,1
345,Costa,3,14-09,2014, Dining, Shore Excursions,Costa neoRiviera,1
346,Costa,1,14-11,2014,Service, Entertainment,Costa Serena,1
347,Costa,5,14-12,2014, Enrichment Activities, Entertainment,Costa neoRiviera,1
348,Costa,1,14-12,2014,Shore Excursions, Dining,not specified,1
349,Costa,4,14-07,2014,Public Rooms,Enrichment Activities,Costa Luminosa,1
350,Costa,5,14-11,2014, Embarkation, Fitness & Recreation,Costa Diadema,1
351,Costa,4,14-11,2014, Public Rooms,Embarkation,Costa Fascinosa,1
352,Costa,5,14-12,2014, Service,Embarkation,Costa Serena,1
353,Costa,4,14-11,2014,Service,Dining,Costa Favolosa,1
354,Costa,4,14-10,2014,Value for Money,Embarkation,Costa Fascinosa,1
355,Costa,5,14-11,2014, Embarkation, Enrichment Activities,Costa Diadema,1
356,Costa,5,14-11,2014, Cabin, Shore Excursions,Costa Diadema,1
357,Costa,1,14-11,2014,Entertainment, Cabin,Costa Diadema,1
358,Costa,4,14-12,2014,Embarkation, Enrichment Activities,Costa Diadema,1
360,Costa,1,14-12,2014,Cabin, Entertainment,Costa Favolosa,1
361,Costa,2,14-12,2014,Service, Entertainment,Costa Luminosa,1
362,Costa,5,14-11,2014, Cabin, Embarkation,Costa Diadema,1
363,Costa,5,14-12,2014, Fitness & Recreation, Shore Excursions,not specified,1
364,Costa,2,14-12,2014, Cabin, Enrichment Activities,Costa Diadema,1
365,Costa,5,14-12,2014, Cabin, Embarkation,Costa Diadema,1
366,Costa,2,14-12,2014,Embarkation,Value for Money,Costa Mediterranea,1
367,Costa,5,15-01,2015,Cabin,Entertainment,Costa Fascinosa,1
368,Costa,5,14-12,2014,Value for Money,Shore Excursions,Costa Luminosa,1
369,Costa,1,14-12,2014,Cabin, Enrichment Activities,Costa Diadema,1
370,Costa,4,14-12,2014, Dining,Embarkation,Costa Serena,1
371,Costa,2,14-12,2014,Embarkation,Enrichment Activities,Costa Diadema,1
372,Costa,1,14-12,2014, Cabin,Enrichment Activities,Costa Luminosa,1
373,Costa,3,14-12,2014, Public Rooms,Enrichment Activities,Costa neoRiviera,1
374,Costa,1,14-12,2014,Cabin, Dining,Costa Luminosa,1
375,Costa,1,14-12,2014,Cabin,Enrichment Activities,Costa Luminosa,1
376,Costa,4,14-12,2014, Cabin, Embarkation,Costa Luminosa,1
377,Costa,3,14-11,2014, Fitness & Recreation, Shore Excursions,Costa neoRiviera,1
379,Costa,2,14-11,2014,Embarkation,Value for Money,Costa neoRiviera,1
380,Costa,2,14-12,2014,Cabin,Entertainment,Costa Luminosa,1
381,Costa,2,14-12,2014,Public Rooms,Service,Costa Mediterranea,1
382,Costa,2,14-12,2014,Value for Money, Family & Children,Costa Serena,1
383,Costa,2,14-12,2014,Entertainment, Fitness & Recreation,Costa Luminosa,1
384,Costa,1,14-12,2014, Public Rooms,Entertainment,Costa Mediterranea,1
385,Costa,4,15-01,2015, Entertainment, Cabin,Costa neoRiviera,1
386,Costa,1,15-02,2015,Cabin, Entertainment,Costa Magica,1
387,Costa,2,15-02,2015,Public Rooms,Value for Money,Costa Luminosa,1
388,Costa,2,15-01,2015, Cabin,Dining,Costa Mediterranea,1
